,post_code,income
0,10162,115392
1,10028,115071
2,10128,97642
3,10031,26417
4,10009,47782
5,10032,23217
6,11372,27761
7,10016,88762
8,10003,91141
9,10002,30677
10,10026,39354
11,10023,114641
12,10025,68995
13,10453,13386
14,10030,28648
15,10021,125769
16,11226,24798
17,10029,27966
18,10012,85491
19,10033,25767
20,10040,24514
21,11104,37114
22,10452,14142
23,10011,114218
24,10039,23681
25,10456,14424
26,10010,88872
27,10468,16902
28,10022,145479
29,10037,27913
30,10458,15612
31,11103,36827
32,11213,22191
33,11373,22249
34,10457,13952
35,10024,113584
36,10014,122098
37,11216,34644
38,11219,15725
39,10472,15117
40,11212,18150
41,11221,24707
42,10038,63676
43,10027,30256
44,11220,18459
45,11218,29112
46,10455,14241
47,11106,35257
48,10017,106244
49,10462,24718
50,11206,21148
51,11237,23115
52,11374,35632
53,10019,94797
54,11230,25810
55,10034,26216
56,11204,21587
57,10459,13893
58,11217,63967
59,11233,22163
60,10013,107794
61,11211,39123
62,11225,30351
63,11102,35275
64,10280,108281
65,11419,22049
66,11238,49004
67,11355,20034
68,10044,53174
69,10451,19116
70,11368,16826
71,11210,28212
72,11203,24026
73,10463,33630
74,11214,25791
75,11223,24860
76,11229,29597
77,10036,77462
78,11415,37544
79,11435,25498
80,11224,22584
81,11416,21709
82,11377,25978
83,10454,12900
84,10466,23060
85,10467,18402
86,11201,77491
87,10460,14716
88,11369,21685
89,11207,19498
90,11209,41538
91,11421,25205
92,11235,31005
93,11370,22720
94,11215,67148
95,11236,26886
96,11228,30740
97,10475,27175
98,11205,28894
99,11375,46430
100,11385,27568
101,10473,20315
102,10001,86014
103,11432,23174
104,11417,25481
105,11105,38318
106,11428,25256
107,11208,18319
108,11354,24252
109,10469,24621
110,10035,21618
111,11231,60619
112,11418,24653
113,10282,127960
114,10461,28352
115,11222,46592
116,11436,25222
117,11420,24460
118,10006,103279
119,11232,24043
120,11429,27442
121,11367,27413
122,10069,112264
123,11239,19375
124,11434,25446
125,11412,27935
126,11358,32137
127,11423,27902
128,10007,153897
129,10550,23387
130,10470,30792
131,11366,31649
132,11433,20816
133,11411,33473
134,11365,29830
135,10705,24269
136,11427,32110
137,11379,36301
138,11361,37166
139,11692,21492
140,10701,25969
141,10553,28365
142,11004,38119
143,10018,84134
144,10308,37435
145,11357,37105
146,11550,23540
147,10703,26932
148,10302,25824
149,11378,32263
150,11356,25148
151,11691,19799
152,11413,30087
153,10310,30838
154,11694,43411
155,11364,36515
156,11414,36334
157,11360,45446
158,11005,56302
159,11003,30492
160,10005,102957
161,11426,32021
162,10552,41689
163,10465,33839
164,10805,34859
165,11561,53388
166,10304,31609
167,10704,35853
168,10801,31032
169,10301,30390
170,10606,36351
171,11563,43438
172,11010,36963
173,11501,43755
174,11580,36098
175,11001,41986
176,11101,43063
177,10305,31010
178,11234,33502
179,11575,26117
180,11520,29830
181,11362,38986
182,11040,45105
183,11553,23131
184,11565,48938
185,10471,43996
186,11756,38781
187,10601,55196
188,11363,46719
189,11021,63756
190,10708,74613
191,11510,38466
192,11570,55377
193,11518,45230
194,10474,12362
195,10707,55540
196,11581,43109
197,11726,26478
198,11516,36818
199,11710,47118
200,11507,52213
201,10306,36277
202,10307,38073
203,11762,44602
204,10312,38250
205,11596,54484
206,11757,34269
207,11590,37909
208,10314,34780
209,11598,53159
210,10573,37967
211,10709,57988
212,11554,39549
213,11801,38825
214,11572,45505
215,11552,39363
216,11096,22723
217,10303,23038
218,11701,30237
219,11783,47516
220,10803,77330
221,11703,38098
222,10566,32407
223,11704,34400
224,10710,41988
225,11514,43109
226,10538,96605
227,11422,30216
228,11717,22651
229,11795,43040
230,10927,24435
231,11709,49690
232,11023,49442
233,11803,56403
234,11579,57550
235,11784,31035
236,10543,58834
237,11729,34339
238,11693,28735
239,10522,60490
240,10993,22702
241,10968,82415
242,11758,46956
243,11566,55442
244,11789,40587
245,10977,22360
246,11722,24839
247,10530,61309
248,11577,60884
249,11558,39520
250,11714,41501
251,10309,40598
252,11542,39658
253,10923,31866
254,11741,40026
255,11751,42450
256,10503,108945
257,11548,36389
258,11798,24503
259,10605,58155
260,11950,24631
261,11731,43816
262,10952,18850
263,11755,44091
264,11706,29806
265,10960,49634
266,11718,60678
267,10603,47048
268,11720,36343
269,11509,86671
270,11530,66042
271,11767,45012
272,10528,66277
273,10804,87302
274,11738,36637
275,10532,41876
276,10502,70705
277,11793,48910
278,10954,44791
279,10583,100087
280,11557,62295
281,11776,37480
282,11772,34285
283,11725,48697
284,11735,41790
285,11796,37982
286,11050,67211
287,11753,77584
288,11779,35222
289,11804,55709
290,10965,47856
291,11790,41950
292,11732,64293
293,11754,48635
294,11715,45965
295,11752,37735
296,10983,50734
297,11746,44827
298,11727,35155
299,11951,28266
300,10607,53855
301,11030,93443
302,11721,62148
303,11576,84724
304,11740,47221
305,10706,70934
306,10562,36120
307,11742,42318
308,10591,51093
309,11787,48881
310,11705,48604
311,11024,56747
312,11769,44203
313,10996,19957
314,10004,105390
315,11020,60793
316,11791,73725
317,11777,59247
318,10604,51097
319,10956,51630
320,11697,48159
321,10523,37921
322,11559,70822
323,10580,96920
324,10594,50327
325,10533,82298
326,10989,45155
327,11730,44395
328,11967,28565
329,11788,43177
330,11797,84151
331,10570,57076
332,11763,33562
333,10984,41110
334,11713,33571
335,10976,34128
336,11733,62622
337,10511,39173
338,11743,62687
339,11766,46739
340,11547,47352
341,10920,42649
342,11782,48452
343,11934,39941
344,11778,39896
345,11768,60033
346,10548,40314
347,10464,43462
348,10547,35977
349,11702,52975
350,10595,42210
351,11780,56623
352,10925,39768
353,10994,54696
354,11747,62129
355,11953,34315
356,10913,46831
357,11716,39034
358,11764,44795
359,10598,51727
360,11786,44597
361,10950,23668
362,10588,37021
363,10541,44168
364,11955,42867
365,10537,42354
366,11724,88451
367,10589,58420
368,10514,113120
369,10510,79130
370,11970,33124
371,11042,21133
372,10520,57774
373,11771,79890
374,10535,36425
375,11560,75115
376,11946,42936
377,11944,41622
378,10507,37806
379,10962,47744
380,11972,46881
381,11545,85083
382,10549,57204
383,11792,50023
384,10567,50080
385,11940,43774
386,10970,41573
387,10901,45748
388,10501,58472
389,10992,36542
390,10940,29448
391,11961,34900
392,11960,49884
393,10964,70664
394,11719,38564
395,11947,60464
396,11941,50090
397,11942,41102
398,10546,72709
399,10974,36326
400,11568,75136
401,10577,54963
402,11971,50352
403,10930,44260
404,10509,41644
405,10526,73620
406,10590,70172
407,11952,46803
408,10928,41435
409,10917,41346
410,11968,61771
411,11901,30276
412,10536,84666
413,10504,106228
414,10980,39711
415,10921,38163
416,11963,60482
417,10527,54136
418,11977,56158
419,10512,44684
420,11569,73771
421,10941,32777
422,10931,29191
423,11770,50122
424,11949,40446
425,11980,38834
426,11939,47648
427,10918,35551
428,10963,23638
429,10578,38378
430,10519,97884
431,11948,51603
432,10924,41205
433,11935,48279
434,10506,121965
435,11765,125220
436,11956,53516
437,10518,74590
438,10990,47053
439,11937,66958
440,10986,56319
441,11959,55828
442,11978,55997
443,10973,39565
444,10597,121502
445,10560,69663
446,10579,46908
447,11954,45852
448,10524,59305
449,10576,126593
450,11965,63406
451,11933,38204
452,10916,38073
453,11958,67125
454,10919,32837
455,10926,35065
456,10516,54459
457,11964,53903
458,11932,76389
459,11975,45074
460,11976,91602
461,10998,33654
462,11930,69935
463,10958,31177
464,11957,48720
465,10969,42143
466,10975,75907
467,11962,107046
468,11430,7330
469,10987,59084
